len(selected_patterns):22; curr precision: 0.9938; curr recall: 0.1009; curr f1: 0.1832; curr tp: 11014; curr fp: 69; curr fn: 98137; curr tn: 1563109; precision of pattern: 1.0; tp, abs. recall of pattern: 582; pattern: ('DEP_advmod', '_OTOKEN_nice', 'WORD'); pattern type: l1
len(selected_patterns):23; curr precision: 0.9937; curr recall: 0.1058; curr f1: 0.1913; curr tp: 11553; curr fp: 73; curr fn: 97598; curr tn: 1563105; precision of pattern: 1.0; tp, abs. recall of pattern: 539; pattern: ('SRL_argm-mnr', 'WORD', '_OTOKEN_fine'); pattern type: l1
len(selected_patterns):24; curr precision: 0.9936; curr recall: 0.1061; curr f1: 0.1917; curr tp: 11577; curr fp: 74; curr fn: 97574; curr tn: 1563104; precision of pattern: 1.0; tp, abs. recall of pattern: 537; pattern: ('DEP_conj', 'WORD', '_OTOKEN_easy'); pattern type: l1
len(selected_patterns):25; curr precision: 0.9937; curr recall: 0.1062; curr f1: 0.192; curr tp: 11597; curr fp: 74; curr fn: 97554; curr tn: 1563104; precision of pattern: 1.0; tp, abs. recall of pattern: 515; pattern: ('DEP_obl', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):26; curr precision: 0.9936; curr recall: 0.1063; curr f1: 0.1921; curr tp: 11603; curr fp: 75; curr fn: 97548; curr tn: 1563103; precision of pattern: 1.0; tp, abs. recall of pattern: 511; pattern: ('PROX_near2', 'TOKEN_is', '_OTOKEN_good'); pattern type: l1
len(selected_patterns):27; curr precision: 0.9936; curr recall: 0.1066; curr f1: 0.1925; curr tp: 11631; curr fp: 75; curr fn: 97520; curr tn: 1563103; precision of pattern: 1.0; tp, abs. recall of pattern: 509; pattern: ('DEP_advmod', '_OTOKEN_easy', 'WORD'); pattern type: l1
len(selected_patterns):28; curr precision: 0.9936; curr recall: 0.1067; curr f1: 0.1927; curr tp: 11647; curr fp: 75; curr fn: 97504; curr tn: 1563103; precision of pattern: 1.0; tp, abs. recall of pattern: 504; pattern: ('PROX_near1', '_OTOKEN_great', 'TOKEN_for'); pattern type: l1
len(selected_patterns):29; curr precision: 0.9937; curr recall: 0.1091; curr f1: 0.1967; curr tp: 11913; curr fp: 75; curr fn: 97238; curr tn: 1563103; precision of pattern: 1.0; tp, abs. recall of pattern: 493; pattern: ('DEP_root', 'WORD', '_OTOKEN_nice'); pattern type: l1
len(selected_patterns):30; curr precision: 0.9937; curr recall: 0.1096; curr f1: 0.1974; curr tp: 11958; curr fp: 76; curr fn: 97193; curr tn: 1563102; precision of pattern: 1.0; tp, abs. recall of pattern: 469; pattern: ('DEP_advmod', '_OTOKEN_great', 'WORD'); pattern type: l1
len(selected_patterns):31; curr precision: 0.9936; curr recall: 0.1096; curr f1: 0.1975; curr tp: 11965; curr fp: 77; curr fn: 97186; curr tn: 1563101; precision of pattern: 1.0; tp, abs. recall of pattern: 442; pattern: ('PROX_near1', 'TOKEN_works', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):32; curr precision: 0.9936; curr recall: 0.11; curr f1: 0.1981; curr tp: 12007; curr fp: 77; curr fn: 97144; curr tn: 1563101; precision of pattern: 1.0; tp, abs. recall of pattern: 424; pattern: ('PROX_near2', 'TOKEN_it', '_OTOKEN_great'); pattern type: l1
len(selected_patterns):33; curr precision: 0.9935; curr recall: 0.11; curr f1: 0.1981; curr tp: 12008; curr fp: 78; curr fn: 97143; curr tn: 1563100; precision of pattern: 1.0; tp, abs. recall of pattern: 418; pattern: ('DEP_punct', '_OTOKEN_nice', 'TOKEN_.'); pattern type: l1
len(selected_patterns):34; curr precision: 0.9925; curr recall: 0.1138; curr f1: 0.2042; curr tp: 12423; curr fp: 94; curr fn: 96728; curr tn: 1563084; precision of pattern: 1.0; tp, abs. recall of pattern: 415; pattern: ('PROX_near1', '_OTOKEN_fast', 'TOKEN_and'); pattern type: l1
len(selected_patterns):35; curr precision: 0.9921; curr recall: 0.1173; curr f1: 0.2098; curr tp: 12801; curr fp: 102; curr fn: 96350; curr tn: 1563076; precision of pattern: 1.0; tp, abs. recall of pattern: 392; pattern: ('SRL_arg2', 'WORD', '_OTOKEN_fine'); pattern type: l1
len(selected_patterns):36; curr precision: 0.9922; curr recall: 0.1193; curr f1: 0.213; curr tp: 13023; curr fp: 102; curr fn: 96128; curr tn: 1563076; precision of pattern: 1.0; tp, abs. recall of pattern: 386; pattern: ('PROX_near2', '_OTOKEN_great', 'TOKEN_for'); pattern type: l1
len(selected_patterns):37; curr precision: 0.9922; curr recall: 0.1228; curr f1: 0.2186; curr tp: 13406; curr fp: 106; curr fn: 95745; curr tn: 1563072; precision of pattern: 1.0; tp, abs. recall of pattern: 383; pattern: ('SRL_argm-mnr', 'TOKEN_works', '_OTOKEN_well'); pattern type: l1
len(selected_patterns):38; curr precision: 0.9921; curr recall: 0.1231; curr f1: 0.219; curr tp: 13432; curr fp: 107; curr fn: 95719; curr tn: 1563071; precision of pattern: 1.0; tp, abs. recall of pattern: 376; pattern: ('DEP_advmod', 'WORD', '_OTOKEN_fine'); pattern type: l1
len(selected_patterns):39; curr precision: 0.9921; curr recall: 0.1232; curr f1: 0.2192; curr tp: 13447; curr fp: 107; curr fn: 95704; curr tn: 1563071; precision of pattern: 1.0; tp, abs. recall of pattern: 375; pattern: ('PROX_near1', '_OTOKEN_great', 'TOKEN_,'); pattern type: l1
len(selected_patterns):40; curr precision: 0.9921; curr recall: 0.1232; curr f1: 0.2192; curr tp: 13448; curr fp: 107; curr fn: 95703; curr tn: 1563071; precision of pattern: 1.0; tp, abs. recall of pattern: 373; pattern: ('DEP_nsubj', '_OTOKEN_easy', 'WORD'); pattern type: l1
len(selected_patterns):41; curr precision: 0.9921; curr recall: 0.1234; curr f1: 0.2195; curr tp: 13472; curr fp: 107; curr fn: 95679; curr tn: 1563071; precision of pattern: 1.0; tp, abs. recall of pattern: 360; pattern: ('PROX_near1', '_OTOKEN_fine', 'TOKEN_.'); pattern type: l1
len(selected_patterns):42; curr precision: 0.9921; curr recall: 0.1235; curr f1: 0.2197; curr tp: 13483; curr fp: 108; curr fn: 95668; curr tn: 1563070; precision of pattern: 1.0; tp, abs. recall of pattern: 359; pattern: ('DEP_advmod', 'TOKEN_works', '_OTOKEN_well'); pattern type: l1
len(selected_patterns):43; curr precision: 0.9921; curr recall: 0.1242; curr f1: 0.2208; curr tp: 13558; curr fp: 108; curr fn: 95593; curr tn: 1563070; precision of pattern: 1.0; tp, abs. recall of pattern: 357; pattern: ('DEP_cop', '_OTOKEN_nice', 'TOKEN_is'); pattern type: l1
len(selected_patterns):44; curr precision: 0.9922; curr recall: 0.1274; curr f1: 0.2258; curr tp: 13907; curr fp: 110; curr fn: 95244; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 349; pattern: ('DEP_root', 'WORD', '_OTOKEN_slow'); pattern type: l1
len(selected_patterns):45; curr precision: 0.9922; curr recall: 0.1275; curr f1: 0.226; curr tp: 13916; curr fp: 110; curr fn: 95235; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 324; pattern: ('DEP_nsubj', '_OTOKEN_fine', 'WORD'); pattern type: l1
len(selected_patterns):46; curr precision: 0.9923; curr recall: 0.1291; curr f1: 0.2284; curr tp: 14089; curr fp: 110; curr fn: 95062; curr tn: 1563068; precision of pattern: 1.0; tp, abs. recall of pattern: 323; pattern: ('SRL_none', 'WORD', '_OTOKEN_nice'); pattern type: l1
