len(selected_patterns):25; curr precision: 0.9781; curr recall: 0.0252; curr f1: 0.0492; curr tp: 3924; curr fp: 88; curr fn: 151710; curr tn: 1516607; precision of pattern: 1.0; tp, abs. recall of pattern: 64; pattern: _ATOKEN_superdrive; pattern type: l0
len(selected_patterns):26; curr precision: 0.9758; curr recall: 0.0256; curr f1: 0.0499; curr tp: 3987; curr fp: 99; curr fn: 151647; curr tn: 1516596; precision of pattern: 1.0; tp, abs. recall of pattern: 63; pattern: _ATOKEN_pentium; pattern type: l0
len(selected_patterns):27; curr precision: 0.9759; curr recall: 0.026; curr f1: 0.0507; curr tp: 4048; curr fp: 100; curr fn: 151586; curr tn: 1516595; precision of pattern: 1.0; tp, abs. recall of pattern: 61; pattern: _ATOKEN_keypad; pattern type: l0
len(selected_patterns):28; curr precision: 0.9746; curr recall: 0.0264; curr f1: 0.0514; curr tp: 4107; curr fp: 107; curr fn: 151527; curr tn: 1516588; precision of pattern: 1.0; tp, abs. recall of pattern: 59; pattern: _ATOKEN_connections; pattern type: l0
len(selected_patterns):29; curr precision: 0.9745; curr recall: 0.0267; curr f1: 0.0521; curr tp: 4162; curr fp: 109; curr fn: 151472; curr tn: 1516586; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _ATOKEN_vmware; pattern type: l0
len(selected_patterns):30; curr precision: 0.9737; curr recall: 0.0271; curr f1: 0.0527; curr tp: 4217; curr fp: 114; curr fn: 151417; curr tn: 1516581; precision of pattern: 1.0; tp, abs. recall of pattern: 55; pattern: _ATOKEN_dvd/cd; pattern type: l0
len(selected_patterns):31; curr precision: 0.9716; curr recall: 0.0274; curr f1: 0.0534; curr tp: 4271; curr fp: 125; curr fn: 151363; curr tn: 1516570; precision of pattern: 1.0; tp, abs. recall of pattern: 54; pattern: _ATOKEN_minecraft; pattern type: l0
len(selected_patterns):32; curr precision: 0.9717; curr recall: 0.0278; curr f1: 0.054; curr tp: 4324; curr fp: 126; curr fn: 151310; curr tn: 1516569; precision of pattern: 1.0; tp, abs. recall of pattern: 53; pattern: _ATOKEN_firmware; pattern type: l0
len(selected_patterns):33; curr precision: 0.972; curr recall: 0.0281; curr f1: 0.0547; curr tp: 4377; curr fp: 126; curr fn: 151257; curr tn: 1516569; precision of pattern: 1.0; tp, abs. recall of pattern: 53; pattern: _ATOKEN_headphone; pattern type: l0
len(selected_patterns):34; curr precision: 0.9721; curr recall: 0.0285; curr f1: 0.0553; curr tp: 4428; curr fp: 127; curr fn: 151206; curr tn: 1516568; precision of pattern: 1.0; tp, abs. recall of pattern: 51; pattern: _ATOKEN_mousepad; pattern type: l0
len(selected_patterns):35; curr precision: 0.9714; curr recall: 0.0288; curr f1: 0.0559; curr tp: 4478; curr fp: 132; curr fn: 151156; curr tn: 1516563; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _ATOKEN_norton; pattern type: l0
len(selected_patterns):36; curr precision: 0.9706; curr recall: 0.0291; curr f1: 0.0565; curr tp: 4528; curr fp: 137; curr fn: 151106; curr tn: 1516558; precision of pattern: 1.0; tp, abs. recall of pattern: 50; pattern: _ATOKEN_camp; pattern type: l0
len(selected_patterns):37; curr precision: 0.9695; curr recall: 0.0294; curr f1: 0.0571; curr tp: 4577; curr fp: 144; curr fn: 151057; curr tn: 1516551; precision of pattern: 1.0; tp, abs. recall of pattern: 49; pattern: _ATOKEN_stylus; pattern type: l0
